Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
147,Northern Europe,,924,0.25,0.29,0.33,0.28,0.36,0.33,0.11,0.06,0.11,0.10,0.26,0.30,0.27,0.26,0.24,0.23,0.21,0.19,0.18,0.17
148,Channel Islands,13,830,-0.66,-0.68,-0.69,-0.71,-1.08,-1.19,-0.24,-0.28,-0.56,-0.04,0.18,0.20,0.26,0.41,0.56,0.70,0.83,0.91,0.89,0.87
149,Denmark,,208,0.48,1.14,0.89,0.69,0.60,0.38,0.15,0.12,0.03,0.03,0.18,0.22,0.20,0.19,0.17,0.15,0.13,0.11,0.11,0.10
150,Estonia,,233,1.53,1.41,1.28,1.14,0.80,0.62,0.30,0.13,-0.26,-0.27,-0.18,-0.19,-0.16,-0.06,0.06,0.17,0.27,0.35,0.35,0.34
151,Faroe Islands,,234,1.37,2.79,3.56,1.79,1.63,0.56,-0.27,-0.11,0.22,3.22,1.81,0.57,0.50,0.56,0.60,0.65,0.68,0.70,0.68,0.65
152,Finland,14,246,2.66,2.36,1.52,1.31,1.26,1.12,1.11,0.92,0.40,0.30,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.15,0.14
153,Iceland,,352,1.06,0.90,0.59,0.52,0.41,0.36,0.29,0.26,0.19,0.17,0.14,0.13,0.11,0.09,0.08,0.06,0.05,0.04,0.04,0.04
154,Ireland,,372,1.73,0.94,1.22,1.20,0.73,0.62,0.34,0.22,0.35,0.42,0.45,0.45,0.45,0.47,0.49,0.50,0.50,0.48,0.45,0.43
155,Isle of Man,,833,0.41,0.40,0.42,-0.17,-1.27,-0.24,-0.01,-0.01,0.01,0.02,0.03,0.03,0.08,0.19,0.30,0.41,0.50,0.56,0.54,0.52
156,Latvia,,428,1.29,1.31,1.45,1.32,1.10,0.90,0.43,0.20,-0.14,-0.20,-0.02,-0.09,-0.09,0.02,0.14,0.26,0.37,0.45,0.44,0.42
157,Lithuania,,440,3.35,2.95,2.38,2.17,2.33,1.87,1.23,0.77,-0.09,-0.09,-0.11,0.04,-0.07,0.06,0.19,0.31,0.42,0.47,0.45,0.42
158,Norway,15,578,-0.09,-0.12,2.85,2.55,0.84,0.68,0.22,0.18,0.50,0.62,0.37,0.41,0.34,0.31,0.28,0.25,0.22,0.19,0.18,0.17
159,Sweden,,752,1.05,0.91,1.22,1.01,0.41,0.09,0.00,0,0.17,0.05,0.07,0.17,0.18,0.17,0.16,0.16,0.15,0.14,0.13,0.12
160,United Kingdom,,826,-0.07,-0.07,-0.16,-0.18,0.15,0.20,-0.02,-0.06,0.05,0.08,0.32,0.34,0.31,0.28,0.25,0.22,0.19,0.17,0.16,0.15
161,Southern Europe,,925,1.06,1.02,1.31,1.28,0.82,0.69,0.31,0.23,0.28,0.22,0.39,0.38,0.34,0.35,0.37,0.38,0.38,0.37,0.35,0.33
162,Albania,,8,5.38,2.67,0.34,0.32,0.60,0.63,0.77,0.75,1.32,1.40,2.26,2.20,1.92,1.52,1.19,0.90,0.66,0.47,0.42,0.40
163,Andorra,,20,4.49,3.70,3.73,2.58,1.70,1.07,0.66,-0.09,-0.22,-0.27,-0.46,-0.56,-0.63,-0.55,-0.40,-0.20,0.03,0.21,0.21,0.20
164,Bosnia and Herzegovina,,70,3.37,3.26,3.62,3.51,2.80,2.55,1.12,0.86,0.08,-0.05,-0.05,0.01,0.27,0.54,0.78,0.99,1.13,1.10,1.04,0.98
165,Croatia,,191,3.10,2.94,2.97,2.78,2.31,2.08,0.87,0.66,0.31,0.25,0.29,0.40,0.49,0.57,0.63,0.64,0.61,0.57,0.54,0.51
166,Gibraltar,,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
